Date,Close,AdjClose
2020-06-01,305.549988,279.458527
2020-06-02,308.079987,281.772491
2020-06-03,312.179993,285.522339
2020-06-04,311.359985,284.772339
2020-06-05,319.339996,292.070923
2020-06-08,323.200012,295.601379
2020-06-09,320.790009,293.397125
2020-06-10,319.000000,291.760040
2020-06-11,300.609985,274.940338
2020-06-12,304.209991,278.232910
2020-06-15,307.049988,280.830505
2020-06-16,312.959991,286.235748
2020-06-17,311.660004,285.046844
2020-06-18,311.779999,285.156555
2020-06-19,308.640015,283.526947
2020-06-22,310.619995,285.345764
2020-06-23,312.049988,286.659393
2020-06-24,304.089996,279.347107
2020-06-25,307.350006,282.341919
2020-06-26,300.049988,275.635773
2020-06-29,304.459991,279.687012
2020-06-30,308.359985,283.269653
2020-07-01,310.519989,285.253937
2020-07-02,312.230011,286.824860
2020-07-06,317.049988,291.252563
2020-07-07,313.779999,288.248657
2020-07-08,316.179993,290.453400
2020-07-09,314.380005,288.799835
2020-07-10,317.589996,291.748688
2020-07-13,314.839996,289.222443
2020-07-14,318.920013,292.970398
2020-07-15,321.850006,295.662018
2020-07-16,320.790009,294.688232
2020-07-17,321.720001,295.542572
2020-07-20,324.320007,297.931030
2020-07-21,325.010010,298.564911
2020-07-22,326.859985,300.264404
2020-07-23,322.959991,296.681671
2020-07-24,320.880005,294.770905
2020-07-27,323.220001,296.920502
2020-07-28,321.170013,295.037384
2020-07-29,325.119995,298.665924
2020-07-30,323.959991,297.600281
2020-07-31,326.519989,299.952057
2020-08-03,328.790009,302.037384
2020-08-04,330.059998,303.203979
2020-08-05,332.109985,305.087219
2020-08-06,334.329987,307.126556
2020-08-07,334.570007,307.347107
2020-08-10,335.570007,308.265625
2020-08-11,332.799988,305.721008
2020-08-12,337.440002,309.983490
2020-08-13,336.829987,309.423157
2020-08-14,336.839996,309.432373
2020-08-17,337.910004,310.415253
2020-08-18,338.640015,311.085876
2020-08-19,337.230011,309.790619
2020-08-20,338.279999,310.755249
